"","actual","predicted","count"
90,"NN","JJ",1094
93,"NN","NNP",499
53,"JJ","NNP",463
212,"VBD","VBN",424
151,"RB","IN",404
224,"VBN","JJ",399
52,"JJ","NN",361
230,"VBN","VBD",360
129,"NNS","NN",328
114,"NNP","NNPS",300
127,"NNS","JJ",270
152,"RB","JJ",266
242,"VBP","VB",254
161,"RB","RP",248
216,"VBG","NN",229
64,"JJ","VBN",206
94,"NN","NNS",200
102,"NN","VBG",197
130,"NNS","NNP",196
39,"IN","RP",185
215,"VBG","JJ",184
197,"VB","NN",176
250,"VBZ","NNS",174
123,"NNPS","NNP",168
204,"VB","VBP",156
38,"IN","RB",151
100,"NN","VB",134
170,"RBR","JJR",133
177,"RP","IN",132
58,"JJ","RB",126
46,"JJ","CD",126
110,"NNP","JJ",125
138,"NNS","VBZ",118
15,"DT","IN",115
131,"NNS","NNPS",111
237,"VBP","NN",96
155,"RB","NN",77
113,"NNP","NN",75
217,"VBG","NNP",70
21,"DT","WDT",70
45,"IN","WDT",69
251,"VBZ","POS",67
205,"VBD","JJ",65
63,"JJ","VBG",61
195,"VB","JJ",56
19,"DT","PDT",55
198,"VB","NNP",51
226,"VBN","NNP",50
156,"RB","NNP",50
207,"VBD","NN",47
61,"JJ","VB",46
248,"VBZ","NN",43
124,"NNPS","NNS",42
159,"RB","RBR",41
257,"WDT","IN",41
225,"VBN","NN",37
71,"JJR","RBR",37
222,"VBG","VBN",34
157,"RB","NNS",33
115,"NNP","NNS",32
0,"''","POS",31
31,"IN","DT",31
55,"JJ","NNS",30
149,"RB","DT",29
231,"VBN","VBG",29
227,"VBN","NNS",29
236,"VBP","JJ",28
218,"VBG","NNS",28
74,"JJS","JJ",28
104,"NN","VBP",27
103,"NN","VBN",27
214,"VBD","VBZ",27
49,"JJ","IN",26
33,"IN","JJ",26
247,"VBZ","JJ",26
150,"RB","EX",25
36,"IN","NNP",25
6,"CC","RB",24
62,"JJ","VBD",23
86,"NN","CD",23
173,"RBR","RB",23
125,"NNS","CD",23
253,"VBZ","VBD",22
66,"JJR","JJ",22
210,"VBD","VB",22
180,"RP","RB",21
56,"JJ","PDT",21
208,"VBD","NNP",20
136,"NNS","VBN",20
166,"RB","VBN",20
175,"RBS","JJS",20
78,"JJS","RBS",19
